id_show,Generos
60948.0,Sci-Fi & Fantasy
60948.0,Drama
2309.0,Action & Adventure
2309.0,Animation
2309.0,Comedy
2309.0,Sci-Fi & Fantasy
71578.0,Drama
71578.0,Comedy
66084.0,Reality
89393.0,Drama
89393.0,Action & Adventure
89393.0,Crime
109958.0,Mystery
109958.0,Drama
79649.0,Sci-Fi & Fantasy
79649.0,Mystery
79649.0,Drama
1044.0,Documentary
74204.0,Comedy
74204.0,Animation
125910.0,Drama
62110.0,Animation
62110.0,Comedy
62110.0,Action & Adventure
62110.0,Sci-Fi & Fantasy
4313.0,Comedy
4313.0,Family
74440.0,Sci-Fi & Fantasy
74440.0,Animation
74440.0,Crime
74440.0,Action & Adventure
34391.0,Kids
34391.0,Action & Adventure
34391.0,Animation
34391.0,Comedy
98986.0,Animation
98986.0,Comedy
63109.0,Drama
63109.0,Romance
63109.0,History
63109.0,Soap
2710.0,Comedy
131927.0,Drama
131927.0,Crime
92782.0,Sci-Fi & Fantasy
92782.0,Action & Adventure
92782.0,Comedy
65249.0,Animation
65249.0,Drama
65249.0,Mystery
79240.0,Mystery
79240.0,Sci-Fi & Fantasy
79240.0,Drama
888.0,Animation
888.0,Action & Adventure
73021.0,Animation
73021.0,Comedy
73021.0,Action & Adventure
73021.0,Sci-Fi & Fantasy
50825.0,Drama
50825.0,Mystery
50825.0,Sci-Fi & Fantasy
92967.0,Drama
12313.0,Sci-Fi & Fantasy
12313.0,Drama
39852.0,Crime
39852.0,Drama
91557.0,Sci-Fi & Fantasy
91557.0,Drama
91557.0,Mystery
81146.0,Action & Adventure
81146.0,Crime
81146.0,Drama
1600.0,Family
1600.0,Comedy
1621.0,Crime
1621.0,Drama
89905.0,Drama
18123.0,Animation
18123.0,Mystery
18123.0,Family
1426.0,Crime
1426.0,Drama
1426.0,Mystery
63210.0,Action & Adventure
63210.0,Drama
63210.0,Sci-Fi & Fantasy
2290.0,Sci-Fi & Fantasy
2290.0,Action & Adventure
2290.0,Drama
93812.0,Drama
93812.0,Comedy
1695.0,Comedy
1695.0,Crime
1695.0,Drama
1695.0,Mystery
43899.0,Drama
61223.0,Animation
61223.0,Drama
61223.0,Action & Adventure
3763.0,Sci-Fi & Fantasy
3763.0,Comedy
3763.0,Family
80350.0,Drama
4239.0,Comedy
4239.0,Drama
897.0,Animation
897.0,Comedy
897.0,Family
1404.0,Action & Adventure
1404.0,Comedy
1404.0,Drama
4500.0,Comedy
4500.0,Drama
4500.0,Family
252.0,Comedy
252.0,Family
252.0,Kids
42589.0,Animation
42589.0,Drama
42589.0,Mystery
64513.0,Crime
64513.0,Drama
66276.0,Crime
66276.0,Drama
66276.0,Mystery
61663.0,Animation
61663.0,Comedy
61663.0,Drama
2317.0,Comedy
46261.0,Animation
46261.0,Action & Adventure
46261.0,Comedy
46261.0,Mystery
46261.0,Sci-Fi & Fantasy
1516.0,Action & Adventure
1988.0,Animation
1988.0,Sci-Fi & Fantasy
1988.0,Action & Adventure
80169.0,Drama
80169.0,Comedy
82747.0,Animation
82747.0,Kids
82747.0,Family
82747.0,Action & Adventure
42705.0,Animation
42705.0,Comedy
42705.0,Drama
42705.0,Action & Adventure
61859.0,Drama
61859.0,Mystery
61859.0,Crime
70593.0,Drama
70593.0,Mystery
18350.0,Drama
83125.0,Action & Adventure
83125.0,Sci-Fi & Fantasy
54344.0,Sci-Fi & Fantasy
54344.0,Drama
33907.0,Drama
3570.0,Action & Adventure
3570.0,Animation
3570.0,Drama
3570.0,Sci-Fi & Fantasy
110290.0,sin informacion
60802.0,Action & Adventure
60802.0,Drama
60802.0,Sci-Fi & Fantasy
4630.0,Animation
4630.0,Comedy
4630.0,Kids
4630.0,Sci-Fi & Fantasy
14141.0,Action & Adventure
14141.0,Drama
14141.0,Sci-Fi & Fantasy
97513.0,Drama
97513.0,Mystery
4586.0,Comedy
4586.0,Drama
14814.0,Reality
64122.0,Action & Adventure
64122.0,Sci-Fi & Fantasy
83867.0,Sci-Fi & Fantasy
83867.0,Action & Adventure
83867.0,Drama
67133.0,Drama
67133.0,Action & Adventure
89901.0,Comedy
89901.0,Drama
98387.0,Soap
76331.0,Drama
902.0,Animation
902.0,Kids
902.0,Action & Adventure
2426.0,Sci-Fi & Fantasy
2426.0,Drama
95396.0,Drama
95396.0,Mystery
95396.0,Sci-Fi & Fantasy
67026.0,Drama
67026.0,War & Politics
67466.0,Action & Adventure
67466.0,Crime
67466.0,Drama
67466.0,Sci-Fi & Fantasy
72002.0,Drama
72002.0,Soap
1274.0,Drama
63767.0,Comedy
63767.0,Drama
7225.0,Action & Adventure
7225.0,Drama
