id_show,Paises_Produccion
45666.0,United States of America
64757.0,Colombia
18712.0,Mexico
97441.0,sin informacion
46671.0,Japan
31387.0,Colombia
13943.0,United States of America
93808.0,Germany
9027.0,Argentina
105797.0,United States of America
123876.0,Japan
111838.0,United States of America
135934.0,United States of America
124124.0,Colombia
95171.0,United Kingdom
95171.0,United States of America
84469.0,United States of America
4414.0,United States of America
61421.0,Japan
42942.0,Japan
2171.0,United States of America
39434.0,Japan
2423.0,United States of America
326.0,United Kingdom
75865.0,Japan
154385.0,United States of America
5639.0,United States of America
578.0,United Kingdom
39518.0,Canada
39518.0,United States of America
1664.0,Canada
1664.0,United States of America
77696.0,South Korea
95259.0,Canada
62565.0,Japan
66840.0,United States of America
3122.0,United States of America
71809.0,United Kingdom
99935.0,France
8392.0,United States of America
99121.0,United States of America
61463.0,United States of America
110529.0,Brazil
4035.0,United States of America
62211.0,United States of America
62211.0,France
60637.0,Mexico
60637.0,Colombia
60637.0,United States of America
93784.0,United States of America
43865.0,Japan
84380.0,Russia
4269.0,Japan
4269.0,South Korea
4269.0,United States of America
14009.0,United States of America
69346.0,Japan
32118.0,United States of America
72705.0,United States of America
4606.0,United States of America
2432.0,United States of America
1095.0,Japan
1095.0,United States of America
66078.0,Japan
7072.0,Mexico
103847.0,Australia
103847.0,United States of America
877.0,sin informacion
59186.0,sin informacion
105590.0,Mexico
73833.0,China
73833.0,Japan
88713.0,Italy
