id_show,Canales
123249.0, BS11
123249.0, Tochigi TV
2355.0,ABC
2355.0, Disney Channel
62517.0,CBS
75208.0,Netflix
87917.0,Apple TV+
15842.0,Telemundo
18197.0,ABC
71116.0,Hulu
63623.0,Netflix
114501.0,Disney+
81349.0,Hulu
99588.0,Paramount+
91275.0,Netflix
60726.0,ABC
88516.0,Netflix
77236.0,Sky One
77236.0, Sky Max
1435.0,CBS
84647.0,Netflix
194766.0,Prime Video
86848.0,CBS
86848.0, Paramount+
136283.0,Netflix
79622.0,Prime Video
90447.0,tvN
32226.0,MBC
39269.0,ABC
65676.0,TBS
35935.0,Nippon TV
5739.0,Hulu
1428.0,Discovery
1428.0, SBS
96444.0,AT-X
513.0,The WB
99494.0,tvN
85021.0,Sky Atlantic
2287.0,ABC
89844.0,HBO España
89844.0, HBO Max
66871.0,History
69998.0,TNT Latin America
79086.0,Epix
79086.0, MGM+
36.0,NBC
36.0, CBS
129035.0,AMC
210232.0,Netflix
44824.0,Telemundo
1940.0,HBO
60585.0,Prime Video
1410.0,NBC
73544.0,Cinemax
73544.0, Max
117023.0,Netflix
62699.0,Sky Atlantic 
61671.0,Netflix
93287.0,HBO Max
88052.0,Netflix
2327.0,The WB
2902.0,Showtime
66433.0,SBS
549.0,NBC
100412.0,Netflix
33761.0,Univision
33761.0, Las Estrellas
88046.0,TBS
88046.0, Tohoku Broadcasting
88046.0, SBC
88046.0, HBC
88046.0, CBC
88046.0, MBS
79863.0,Freeform
127865.0,Netflix
60858.0,NBC
92468.0,sin informacion
3772.0,CBS
4615.0,Syndication
2224.0,Comedy Central
46511.0,Channel 4
114395.0,Netflix
114395.0, Kakao TV
1830.0,CBS
1830.0, Syndication
1830.0, Fox Kids
116450.0,HBO Max
116450.0, Max
1777.0,ABC
4271.0,Nine Network
4271.0, Syfy
197588.0,Netflix
42295.0,Netflix
51019.0,FOX
88324.0,Netflix
73467.0,Netflix
3137.0,TNT
3137.0, Syndication
3137.0, Prime Time Entertainment Network
82282.0,Las Estrellas
15079.0,Disney Channel
236.0,CBS
1615.0,Disney Channel
1615.0, Syndication
128883.0,tvN
112314.0,Netflix
79084.0,FX
424.0,BBC Three
424.0, BBC One
424.0, Starz
424.0, BBC Two
346.0,Disney Channel
68073.0,Nickelodeon
93811.0,Netflix
58539.0,Univision
58539.0, Las Estrellas
91977.0,Freeform
45094.0,FOX
62413.0,Syfy
